Title,Company,Location,Salary,Date,Rating,Difficulty,Remote
"BG Designer, 2D",WildBrain,"Vancouver, BC",---,Just posted,3.6,---,Remote
Junior Designer -Apparel,Mountain Equipment Co-op,"Vancouver, BC",---,Just posted,3.9,---,---
graphic designer,Sony Pictures Imageworks Canada,"Vancouver, BC",$28.00 - $38.46 an hour,3 days ago,4.1,---,Remote
Pattern Designer,Youtooz,"Vancouver, BC",---,3 days ago,---,---,---
Designer 2,Microsoft,"Vancouver, BC",---,8 days ago,4.2,---,---
floral designer,Thomas Hobbs Florist Ltd.,"Vancouver, BC",$19 - $20 an hour,7 days ago,---,---,---
Print / Washes Designer,Lululemon,"Vancouver, BC",---,2 days ago,4.2,---,---
Design Intern,Softvision,"Vancouver, BC",---,2 days ago,3.7,---,---
Cinematic Designer,Electronic Arts,"Vancouver, BC",---,7 days ago,3.8,---,---
jewellery designer,HI-CLASS JEWELLERS LTD.,"Vancouver, BC",$26 an hour,30+ days ago,---,---,---
Level Designer,Sun Machine Entertainment,"Vancouver, BC",---,3 days ago,---,---,---
Junior Web & Graphic Designer,VetCare Canada,"Vancouver, BC",---,Just posted,---,---,---
floral designer,Thomas Hobbs Florist Ltd.,"Vancouver, BC",$19 - $20 an hour,7 days ago,---,---,---
Print / Washes Designer,Lululemon,"Vancouver, BC",---,2 days ago,4.2,---,---
Design Intern,Softvision,"Vancouver, BC",---,2 days ago,3.7,---,---
Cinematic Designer,Electronic Arts,"Vancouver, BC",---,7 days ago,3.8,---,---
jewellery designer,HI-CLASS JEWELLERS LTD.,"Vancouver, BC",$26 an hour,30+ days ago,---,---,---
Level Designer,Sun Machine Entertainment,"Vancouver, BC",---,3 days ago,---,---,---
Junior Web & Graphic Designer,VetCare Canada,"Vancouver, BC",---,Just posted,---,---,---
Game Designer,LBC STUDIOS,"Vancouver, BC",---,2 days ago,---,---,---
Senior Designer,Microsoft,"Vancouver, BC",---,1 day ago,4.2,---,Temporarily remote
Visual Communications Specialist - Designer,VGH & UBC Hospital Foundation,"Vancouver, BC","$59,579 - $68,091 a year",8 days ago,4.0,---,---
graphic designer,Canpro Consulting Inc.,"Surrey, BC",$30 an hour,4 days ago,---,---,---
Junior Interior Designer,Victoreric Design Group,"Vancouver, BC",---,11 days ago,---,---,---
jewellery designer,Kiara Jewels & Fashion Ltd,"Vancouver, BC",$26.50 an hour,30+ days ago,---,---,---
"Designer, Bra",Lululemon,"Vancouver, BC",---,9 days ago,4.2,---,---
graphic designer,Awaaz Publishing Ltd.,"Surrey, BC",$26 an hour,18 days ago,---,---,---
"Product - Designer, Intimates",Aritzia,"Vancouver, BC",---,30+ days ago,3.4,---,---
Senior Men's Designer,lululemon athletica,"Vancouver, BC","$95,000 - $120,000 a year",30+ days ago,4.2,---,---
interior designer,Supertech Designs Ltd.,"Surrey, BC",$26.50 an hour,25 days ago,---,---,---
Level Designer,Sun Machine Entertainment,"Vancouver, BC",---,3 days ago,---,---,---
theatre designer,CBM,"Vancouver, BC",$26 - $27 an hour,30+ days ago,3.5,---,---
Concept Environment Designer,Animal Logic,"Vancouver, BC",---,18 days ago,4.1,---,---
"Product -Senior Associate, Creative Textile Designer",Aritzia,"Vancouver, BC",---,30+ days ago,3.4,---,---
Personal Travel Designer,Travel Edge,"Vancouver, BC",---,1 day ago,2.7,Easily apply,---
Web designer,The Times of Canada Investments Ltd,"Surrey, BC",$29 an hour,6 days ago,---,---,---
Benjamin Moore - Designer - Blundell,Bold Construction / Benjamin Moore Vancouver,"Richmond, BC",---,4 days ago,---,Easily apply,---
Motion Graphics Designer,Lumen5,"Vancouver, BC",---,Today,---,---,---
"Senior Designer, Mens",Lululemon,"Vancouver, BC",---,30+ days ago,4.2,---,---
Pattern Designer,Youtooz,"Vancouver, BC",---,3 days ago,---,---,---
